[2024-01-06 10:45:41,717: INFO: main: Welecome to our custom log]
[2024-01-06 21:20:21,963: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 21:33:35,334: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 21:33:35,340: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 21:33:35,343: INFO: common: created directory at: artifacts]
[2024-01-06 21:33:35,447: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-06 21:33:35,449: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-06 21:34:15,891: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-07 22:07:21,479: INFO: main: >>>>>>> stage Data Ingestion stage started]
[2024-01-07 22:07:21,688: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-07 22:07:21,718: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-07 22:07:21,718: INFO: common: created directory at: artifacts]
[2024-01-07 22:07:21,718: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-07 22:07:21,724: INFO: dtat_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-07 22:08:07,830: INFO: dtat_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-07 22:08:08,530: INFO: main: >>>>>>> stage Data Ingestion stage completed <<<<<<<<< 

x=========x]
